sensor,measure,n,mean,sd,p01,p50,p99,min,max
fridge,fridge_temperature,35000,7.134904285714286,3.6142628158650196,1.0,6.7,13.85,1.0,14.0
gps_tracker,latitude,35000,24.835689190942603,58.20368222484927,0.0,1.4653743295,251.78690848000002,0.0,259.9832002
gps_tracker,longitude,35000,34.71419195875143,57.67499875661763,10.0,11.48274554,258.5158621030001,10.0,265.5404739
modbus,FC1_Read_Input_Register,35000,32805.06611428571,18875.95637216676,592.0,32568.0,64790.0,0.0,65527.0
modbus,FC2_Read_Discrete_Value,35000,32925.6654,19072.050648226814,629.0,32846.5,65026.0,0.0,65535.0
modbus,FC3_Read_Holding_Register,35000,32544.166314285714,18908.67836015007,537.0,32155.0,64921.0,0.0,65525.0
modbus,FC4_Read_Coil,35000,32838.510285714285,18920.23819506481,580.0,32548.0,65009.0,0.0,65525.0
motion_light,motion_status,35000,0.37711428571428574,0.48467082934620687,0.0,0.0,1.0,0.0,1.0
thermostat,current_temperature,35000,28.774690150986572,2.396577586868188,25.0,28.469363685,34.2532663104,25.0,34.99374043
thermostat,thermostat_status,35000,0.8744571428571428,0.33133817298512186,0.0,1.0,1.0,0.0,1.0
weather,humidity,35000,50.75663719953763,27.33791639077772,3.876584823,48.930947715,97.14117306,0.325271585,99.87598223
weather,pressure,35000,1.0082421631853429,1.3913776667687034,-3.230115296,1.035,5.845606239,-4.460876192,8.576222312
weather,temperature,35000,35.41359030859914,8.876832265904797,21.1494283738,35.101389055,49.077131094200006,20.52701229,50.0
