timestamp,source,event_id,user,user_role,employment_type,asset_id,site,src,dst,event_type,result,privileged,mfa,bytes_out,evidence,linkage_basis,in_alert_window
2019-04-02 16:07:24+00:00,remote_access_log (synthetic),ACC001565,vend069,vendor_technician,vendor,AST-0137,WORKSHOP-01,10.32.16.10 (NAM),historian,LOGIN_SUCCESS,success,False,True,0,ACC001565,direct - same account,False
2019-04-02 16:39:05+00:00,remote_access_log (synthetic),ACC001579,vend069,vendor_technician,vendor,AST-0124,WORKSHOP-01,10.32.16.10 (NAM),historian,RESOURCE_ACCESS,success,False,True,2682590,ACC001579,direct - same account,False
2019-04-02 16:50:08+00:00,remote_access_log (synthetic),ACC001584,vend069,vendor_technician,vendor,AST-0142,WORKSHOP-01,10.32.16.10 (NAM),maintenance_portal,RESOURCE_ACCESS,success,False,True,1239934,ACC001584,direct - same account,False
2019-04-02 16:53:06+00:00,remote_access_log (synthetic),ACC001586,vend069,vendor_technician,vendor,AST-0152,WORKSHOP-01,10.32.16.10 (NAM),telemetry_broker,LOGOUT,success,False,True,0,ACC001586,direct - same account,False
2019-04-03 07:51:57+00:00,remote_access_log (synthetic),ACC001951,vend069,vendor_technician,vendor,AST-0124,WORKSHOP-01,10.32.16.10 (NAM),historian,LOGIN_SUCCESS,success,False,True,0,ACC001951,direct - same account,False
2019-04-03 08:03:03+00:00,remote_access_log (synthetic),ACC001972,vend069,vendor_technician,vendor,AST-0124,WORKSHOP-01,10.32.16.10 (NAM),telemetry_broker,LOGOUT,success,False,True,0,ACC001972,direct - same account,False
2019-04-04 10:56:33+00:00,remote_access_log (synthetic),ACC002995,vend069,vendor_technician,vendor,AST-0152,WORKSHOP-01,10.32.16.10 (NAM),cctv_nvr,LOGIN_SUCCESS,success,False,True,0,ACC002995,direct - same account,False
2019-04-04 11:08:53+00:00,remote_access_log (synthetic),ACC003007,vend069,vendor_technician,vendor,AST-0133,WORKSHOP-01,10.32.16.10 (NAM),telemetry_broker,RESOURCE_ACCESS,success,False,True,83059,ACC003007,direct - same account,False
2019-04-04 11:58:36+00:00,remote_access_log (synthetic),ACC003072,vend069,vendor_technician,vendor,AST-0152,WORKSHOP-01,10.32.16.10 (NAM),telemetry_broker,LOGOUT,success,False,True,0,ACC003072,direct - same account,False
2019-04-04 14:35:34+00:00,remote_access_log (synthetic),ACC003232,vend069,vendor_technician,vendor,AST-0142,WORKSHOP-01,10.32.16.10 (NAM),historian,LOGIN_SUCCESS,success,False,True,0,ACC003232,direct - same account,False
2019-04-04 14:54:42+00:00,remote_access_log (synthetic),ACC003245,vend069,vendor_technician,vendor,AST-0152,WORKSHOP-01,10.32.16.10 (NAM),maintenance_portal,LOGOUT,success,False,True,0,ACC003245,direct - same account,False
2019-04-04 15:01:29+00:00,remote_access_log (synthetic),ACC003253,vend069,vendor_technician,vendor,AST-0135,WORKSHOP-01,10.32.16.10 (NAM),cctv_nvr,LOGIN_SUCCESS,success,False,True,0,ACC003253,direct - same account,False
