conn_state,0,1,flows
s0,0.6032500914569575,0.39674990854304254,51937
sf,0.12901812387970524,0.8709818761202948,50210
rej,0.0,1.0,44852
oth,0.3147608434767701,0.6852391565232299,23332
sh,0.002164141834526386,0.9978358581654736,12014
s1,0.0011141026831306285,0.9988858973168694,10771
s3,0.0009150526155253927,0.9990849473844746,6557
shr,0.8203943862142477,0.17960561378575235,5629
rstr,0.020110608345902465,0.9798893916540975,1989
rstrh,0.01775147928994083,0.9822485207100592,1690
rsto,0.06340718105423988,0.9365928189457601,1309
s2,0.011164274322169059,0.988835725677831,627
rstos0,0.1984126984126984,0.8015873015873016,126
